route_id,route_short_name,agency_id,route_long_name,route_type
480A,480A,13,Shiabu to Agbogbloshie Station No. 2,3
492B,492B,40,Tabora Alhaji Station to Kaneshie Mkt Cmplx,3
313B,313B,59,A-Lang Station to Kwashieman Station,3
348B,348B,45,Tetteh Quarshie to Abeka lapaz,3
208A,208A,97,UTC Station to Osu Blow Up,3
223B,223B,12,Ablekuma to Accra CMB,3
540B,540B,89,Agege to Zongo Junction,3
155B,155B,91,Akoto Lante to Kaneshie Mkt Cmplx,3
472B,472B,36,Alhaji Station to Salaga Station,3
474B,474B,91,Appiah Danquah to Salaga Station,3
188B,188B,33,Asore Danho to Circle,3
167A,167A,34,Atico to Kaneshie Mkt Cmplx,3
324B,324B,60,Auntie Aku station to Kwashieman Station,3
242B,242B,37,Odorkor Station to Dansoman Laststop,3
228B,228B,12,Odorkor Station to Accra CMB,3
445A,445A,13,Opetekwei Station to Circle,3
188A,188A,33,Circle Odorna Station to Asore Danho,3
205A,205A,25,UTC Station to Osu RE,3
238B,238B,37,Circle to Dansoman Laststop,3
524A,524A,87,Accra New Tema Station to Banana Inn Taxi Station,3
417B,417B,73,Accra New Tema Station to Nima Overhead Station,3
269B,269B,49,Bubiashie Station to Kaneshie Mkt Cmplx,3
995A,995A,104,Accra New Tema Station to Zamrara Line,3
156A,156A,28,Alajo Taxi Rank to Accra CMB,3
067B,067B,8,Alhaji to Accra CMB,3
157A,157A,28,Alajo Taxi Rank to Circle,3
441B,441B,84,American House to Okponglo Taxi Station,3
344A,344A,45,Abeka lapaz to Santa Maria,3
348A,348A,45,Abeka lapaz to Tetteh Quarshie,3
351B,351B,21,Dome Station to Legon Station,3
255A,255A,42,East Legon to Circle Odorna Station,3
260A,260A,13,Ebenezer to Accra Bishop,3
055B,055B,65,Osu Blow Up to Abeka lapaz,3
472A,472A,36,Salaga Station to Alhaji Station,3
163B,163B,87,Accra New Tema Station to Apapa Station,3
080A,080A,30,Achimota Station to Accra UTC,3
174B,174B,35,Bubiashie Atico Station to Ayigbe Town,3
176B,176B,35,Bubiashie Atico Station to Bubiashie Atico,3
176A,176A,35,Bubiashie Atico to Circle Odorna Station,3
300B,300B,50,Abeka lapaz to Korle Bu Station,3
207A,207A,25,Circle Coporative Station to Ridge Hospital,3
381A,381A,45,H to Israel Station,3
082A,082A,22,Achimota Station to Station 082,3
203(1)B,2031B,33,Orgle Road Station to Circle,3
203(2)B,2032B,33,Orgle Road Station to Circle,3
403A,403A,69,Nima Overhead Station to Accra CMB,3
373A,373A,14,Accra New Tema Station to Dzorwulu Station,3
401A,401A,69,Nima Overhead Station to Israel Station,3
317B,317B,56,Abeka lapaz to Kwashieman Station,3
322B,322B,58,Accra CMB to Kwashieman Station,3
328B,328B,57,Rawlings Park to Kwashieman Station,3
339A,339A,3,Abeka lapaz to Madina Station,3
075B,075B,38,Agege to Accra Zongo Lane,3
065A,065A,8,Accra CMB to Darkuman Station,3
185B,185B,18,Agbobloshie Station to Chorkor Station,3
056A,056A,65,Abeka lapaz to Race Course,3
277B,277B,50,C to Kaneshie Mamprobi Station,3
311A,311A,55,Kotobabi Down Station to Accra New Tema Station,3
