route_id,route_short_name,agency_id,route_long_name,route_type
064B,064B,102,Kasoa Station to Abossey Okai Camara Station,3
436B,436B,81,Official Town to Odorkor Station,3
084B,084B,22,A to Achimota,3
376B,376B,14,Pig Farm Station to Accra New Tema Station,3
343B,343B,45,Race Course to Abeka lapaz,3
468A,468A,88,Rawlings Park to La Olympia Station,3
166B,166B,9,Russia to Arena Station,3
023B,023B,2,Sakumono station to Abeka lapaz,3
474A,474A,91,Salaga Station to Appiah Danquah,3
107B,107B,30,Ofankor to Achimota,3
221A,221A,75,Circle Overhead (Maame Dokono) to Madina Station,3
377A,377A,3,F to Ashongman,3
380A,380A,3,Abeka lapaz to 5 Haatso station,3
114A,114A,30,Achimota to Taifa Station,3
007A,007A,2,Abeka lapaz to Taifa Station,3
094B,094B,22,Fise Junction to Achimota Station,3
397A,397A,74,Nima Overhead Station to Madina Station,3
010B,010B,62,Amasaman to Abeka lapaz,3
088A,088A,22,Achimota Station to Asofan Station,3
107A,107A,30,Achimota to Ofankor,3
041A,041A,95,Abeka lapaz to Asofan Station,3
066A,066A,72,Accra Taxi Rank to Nima Overhead Station,3
019A,019A,62,Abeka lapaz to Kotoku Terminal,3
009A,009A,62,Abeka lapaz to Adeiman,3
019B,019B,62,Kotoku Terminal to Abeka lapaz,3
377B,377B,3,Ashongman to Abeka lapaz,3
334A,334A,3,Abeka lapaz to Agbogba,3
092A,092A,22,Achimota Station to Ashognman Estate,3
102A,102A,22,Achimota Station to Madina Station,3
035A,035A,65,Abeka lapaz to Agape Station,3
334B,334B,3,Agbogba to Abeka lapaz,3
007B,007B,2,Taifa Station to Abeka lapaz,3
040A,040A,95,Abeka lapaz to Ashaiman Station,3
232A,232A,69,Accra CMB to Madina Station,3
146B,146B,11,Russia to Agbogbloshie Station No. 2,3
144A,144A,27,Agbogbloshie Station No. 2 to Mamprobi Camara,3
123A,123A,20,Achimota Station to Dome,3
121A,121A,23,Achimota to Haatso,3
120A,120A,23,Achimota to Ashongman,3
122A,122A,23,Achimota to Sowutuom Station,3
139A,139A,36,Agbogbloshie Station to Chemuna Station,3
139B,139B,36,Chorkor Station to Agbobloshie Station,3
146A,146A,11,Agbogbloshie Station to Russia,3
298A,298A,54,Dzorwulu Station to Kokomlemle,3
204A,204A,25,UTC Station to Osu Blow Up,3
192A,192A,33,Circle Odorna Station to Fadama Last Stop,3
425A,425A,47,Circle to Nungua Station,3
011A,011A,1,Abeka lapaz to Circle,3
428A,428A,48,Circle to Tsui Bleeo,3
214B,214B,25,WAEC to Circle Coporative Station,3
485A,485A,32,Soko Station to Accra Post Office,3
488A,488A,52,Sukura Station to Arena Station,3
490A,490A,53,Sukura Station to Nima Overhead Station,3
002A,002A,87,37 Lorry Park to Osu Blow Up,3
224B,224B,29,Alajo Taxi Rank to Accra CMB,3
276B,276B,50,Mamponse Station to Kaneshie Mkt Cmplx,3
114B,114B,30,Taifa Station to Achimota Station,3
536A,536A,102,Zamrara Line to Arena Station,3
021A,021A,63,Abeka lapaz to Dome,3
222A,222A,75,Lido Terminal (Circle Overhead) to Maamobi-Nima Terminal,3
203(2)A,2032A,33,Circle Odorna Station to Orgle Road Station,3
046A,046A,6,Kaneshie Mkt Cmplx to Abeka lapaz,3
085A,085A,22,Achimota to Akweteman Zongo,3
174A,174A,35,Bubiashie Ayigbe Town to Circle Odorna Station,3
231A,231A,12,Accra CMB to Weija Station,3
281A,281A,10,Kaneshie Mkt Cmplx to Russia,3
013A,013A,96,Abeka lapaz to Circle,3
012B,012B,62,Alajo Station to Abeka lapaz,3
333A,333A,3,Abeka lapaz to Adenta Station,3
321A,321A,56,Kwashieman Station to Tema Habour,3
104A,104A,22,Achimota to Adusa Quarters,3
408A,408A,69,Nima Overhead Station to Amasaman,3
084A,084A,22,Achimota to Kuntunse - Satelite,3
010A,010A,62,Abeka lapaz to Amasaman,3
105A,105A,22,Achimota to Kotoku Terminal,3
016A,016A,62,Abeka lapaz to Sarpeiman,3
052A,052A,95,Abeka lapaz to Mayera last stop,3
056B,056B,65,Race Course to Abeka lapaz,3
412B,412B,74,Agbobloshie Station to Nima Overhead Station,3
356A,356A,54,Mallam Attah Station to Achimota Station,3
469B,469B,101,Nungua Station to Rawlings Park,3
400A,400A,69,Nima Overhead Station to Alajo Station,3
356B,356B,54,Achimota Station to Mallam Atta Station,3
096A,096A,22,Achimota Station to Kotobabi Down Station,3
216A,216A,68,Circle Lido to Abeka lapaz,3
012A,012A,62,Abeka lapaz to Circle Opps. Vodafone,3
005A,005A,2,Abeka lapaz to Ashalaja,3
342A,342A,45,Abeka lapaz to Omanjor Station,3
214A,214A,25,Circle Coporative Station to WAEC,3
147A,147A,70,Agbogbloshie Station to Tema Newtown Terminal,3
140A,140A,26,Agbogbloshie Station No. 2 to Kasoa Station,3
026B,026B,4,Abeka Market station to Rawlings Park,3
406B,406B,69,Mallam Station to Nima Overhead Station,3
409B,409B,69,Sowutuom Station to Nima Overhead Station,3
028A,028A,4,Circle Near Las Palmas (PROTOA) to Abeka Station,3
023A,023A,2,Abeka lapaz to Nungua Station,3
521A,521A,36,Accra New Tema Station to Chemuna Station,3
064A,064A,102,Abossey Okai Camara Station to Kasoa Station,3
301A,301A,50,Korle Bu Station to Kasoa Station,3
543A,543A,89,Zongo Junction to Kasoa Station,3
014B,014B,66,Accra CMB to Abeka lapaz,3
122B,122B,23,Sowutuom Station to Achimota Station,3
398A,398A,75,Nima Overhead Station to Ashaiman Station,3
476B,476B,91,Camara Station to Salaga Station,3
485B,485B,32,Accra Post Office to Soko Station,3
473A,473A,36,Salaga Station to Chemuna Station,3
447B,447B,13,Accra New Tema Station to Opetekwei Station,3
029A,029A,4,Abeka Market station to Kaneshie Mkt Cmplx,3
051B,051B,65,Mahean Station to Abeka lapaz,3
398B,398B,75,Ashaiman Station to Nima Overhead Station,3
998B,998B,104,Ashaiman Station to Circle Overhead Station,3
203(1)A,2031A,33,Circle Odorna Station to Orgle Road Station,3
006B,006B,2,Sakumono station to Abeka lapaz,3
243B,243B,37,Santa Maria to Dansoman Laststop,3
325B,325B,60,Santa Maria to Kwashieman Station,3
326B,326B,60,Sowutuom Station to Kwashieman Station,3
999B,999B,64,Sowutuom Station to Abeka lapaz,3
522B,522B,53,Sukura Station to Accra New Tema Station,3
209B,209B,33,Swanlake Laststop to Circle,3
116B,116B,19,Tema C'mty One to Achimota Station,3
539A,539A,102,Zamrara Line to Circle Odorna Station,3
030A,030A,4,Abeka Market station to Mallam Atta Station,3
544A,544A,89,Zongo Junction to Korle Bu Station,3
540A,540A,89,Zongo Junction to Agege,3
368B,368B,14,Abelemkpe Station to Accra New Tema Station,3
186B,186B,31,Abelemkpe Station to Circle,3
061A,061A,7,Abelemkpe Station to Accra New Tema Station,3
260B,260B,13,Accra Bishop to Ebenezer,3
262B,262B,13,Accra Bishop to Glefe,3
325A,325A,60,Kwashieman Station to Santa Maria,3
393B,393B,74,Accra New Tema Station to Nima Overhead Station,3
331B,331B,3,Accra New Tema Station to Abeka lapaz,3
061B,061B,7,Accra New Tema Station to Abelemkpe Station,3
369B,369B,70,Agbogbloshie Station to Accra New Tema Station,3
143A,143A,90,Agbogbloshie Station to Mamprobi,3
121B,121B,23,Haatso to Achimota,3
149B,149B,90,Camara Station to Agbogbloshie Station,3
120B,120B,23,Ashongman to Achimota,3
144B,144B,27,Mamprobi Camara to Agbogbloshie Station,3
247B,247B,40,Agbogbloshie Station No. 2 to Darkuman Station,3
070A,070A,41,Accra End of Motorway to Adjiringanor,3
313A,313A,59,Kwashieman Station to A-Lang Station,3
445B,445B,13,Circle Odorna Station to Opetekwei Station,3
173B,173B,87,Cantonments Station to Bishop Station,3
443B,443B,84,Christian to Okponglo Taxi Station,3
219A,219A,68,Circle Lido to Abeka lapaz,3
206B,206B,97,Osu RE to Circle,3
535A,535A,103,Zamrara Line to Agbogbloshie Station No. 2,3
235B,235B,37,Achimota to Dansoman Laststop,3
373B,373B,14,Dzorwulu Station to Accra New Tema Station,3
170B,170B,32,Accra Post Office to Banana Inn Laststop,3
415A,415A,74,Nima Overhead Station to Nyaho,3
226A,226A,100,Circle Odor Rise to Pig Farm Station,3
492A,492A,40,Kaneshie Mkt Cmplx to Tabora Alhaji Station,3
524B,524B,87,Banana Inn Station to Accra New Tema Station,3
994B,994B,104,Chemuna Station to Rawlings Park,3
542B,542B,89,Chorkor Station to Zongo Junction,3
444B,444B,13,Agbogbloshie Station No. 2 to Opetekwei Station,3
996B,996B,74,Odorna Station to Maamobi-Nima Terminal,3
290B,290B,83,Dansoman Laststop to Kaneshie Mkt Cmplx,3
251A,251A,40,Darkuman Station to Accra Post Office,3
192B,192B,33,Fadama Last Stop to Circle,3
