agency_id,agency_name,agency_url,agency_timezone
1,Abeka Lapaz Circle Accra Local of Abeka Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
2,Abeka Lapaz Highway (GPRTU),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
3,Abeka Lapaz Madina Adenta (Novotel) Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
4,Abeka Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
5,Abeka-Lapaz Kaneshie Agbogbloshie,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
6,Abeka-Lapaz Kaneshie Agbogbloshie Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
7,Abelemkpe Dzorwulu Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
8,Accra - C.M.B - Darkuman Local of Lomnava Tantra Hill Alhaji GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
9,Accra Arena - Total Zongo - Russia - Marteheko Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
10,Accra Arena - Total Zongo - Russia - Mataheko Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
11,Accra Arena Total Zongo Russuia Mataheko Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
12,Accra CMB Branch No. 2 of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
13,Accra Mamponse Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
14,Accra New Town (Novotel) Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
15,Accra New Town Timber Market Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
16,Accra Newtown - 37 - Burma Camp - Madina Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
17,Accra No. 2 Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
18,Accra-Chorkor-Mamponse Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
19,Achimota - Lapaz Taxi & Hiring Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
20,Achimota Co-operative Taxi Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
21,Achimota Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
22,Achimota GPRTU Main Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
23,Achimota Haatso Kwashieman Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
24,Achimota No. 5 GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
25,Adabraka Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
